data_structure,null_model,bf
null_none,C1,37243283187863284e11
null_none,C2,9659204223786864e31
null_none,A,1660327957858299e51
null_none,B,13135.479454265997
null_none,C1,6542245366819522e8
null_none,C2,25378564464717696e26
null_none,A,68115681801371536e59
null_none,B,30141.338187713587
null_none,C1,1875526471898275e10
null_none,C2,36318166030697877e34
null_none,A,7258497637826111e61
null_none,B,127377.25949681507
null_none,C1,13901273573327666e13
null_none,C2,5221462335474765e32
null_none,A,12813357602384258e49
null_none,B,6376.549957200682
null_none,C1,25480451772347624e7
null_none,C2,50287011065831304e25
null_none,A,724199298025057e52
null_none,B,6090254.736327111
null_none,C1,21658828812859443e8
null_none,C2,334366786072509e28
null_none,A,1027411524051155e60
null_none,B,6394.0084091715435
null_none,C1,9302729842215247e14
null_none,C2,11044193924549284e29
null_none,A,17611217406839286e58
null_none,B,95324.21678783346
null_none,C1,6579747053153387e12
null_none,C2,2676579702011302e31
null_none,A,7097138769990889e54
null_none,B,27559320.527042363
null_none,C1,16854743683531526e3
null_none,C2,42107663594584225e34
null_none,A,16945130712472041e55
null_none,B,44116096.098445706
null_none,C1,25102867079492745e12
null_none,C2,6750277033620198e27
null_none,A,9829673169209103e43
null_none,B,5266.419676046665
null_none,C1,3261819197126617e7
null_none,C2,3013555496229896e21
null_none,A,5920063584294679e66
null_none,B,7264.755056618119
null_none,C1,26335584776558507e12
null_none,C2,22479332183138644e37
null_none,A,7714970697290108e53
null_none,B,89467.02500940271
null_none,C1,9151798755841118e7
null_none,C2,8430004748920034e30
null_none,A,3520043449665593e53
null_none,B,14489.808569749104
null_none,C1,100957620056147e12
null_none,C2,3486654546440319e27
null_none,A,5436867422353142e53
null_none,B,532022.2375568046
null_none,C1,10342705422257787e8
null_none,C2,5256716884397436e29
null_none,A,10398123640871514e61
null_none,B,198.0530339065975
null_none,C1,16548879934842523e5
null_none,C2,6283279401271735e40
null_none,A,20804338701562962e57
null_none,B,675917.344340625
null_none,C1,4793019952564887e12
null_none,C2,43405491542821436e29
null_none,A,2.4976077419054812e+66
null_none,B,1234.7280980800638
null_none,C1,37040868915399055e8
null_none,C2,6742843283752307e26
null_none,A,7924205315978482e51
null_none,B,1155576.5865949222
null_none,C1,4982396735498271e11
null_none,C2,15904404519857847e24
null_none,A,32105308364262765e49
null_none,B,17469.95945563197
null_none,C1,2524439258266011e10
null_none,C2,1271779792646518e25
null_none,A,5301878332866524e50
null_none,B,13516.521073630804
