p.value,null_model,data_structure
0.6219030939248652,C2,null_both
0.703130933374513,A,null_both
0.4277441719281827,B,null_both
1,C1,null_both
0.2350128331259517,C2,null_both
0.9583942514071753,A,null_both
0.6209179548721881,B,null_both
0.9689720708430734,C1,null_both
0.6201853166970034,C2,null_both
0.888139290469742,A,null_both
0.5316707331618105,B,null_both
0.897788542506941,C1,null_both
0.5167485282348093,C2,null_both
0.6570738256988606,A,null_both
0.9359498321585453,B,null_both
0.44895590623712933,C1,null_both
0.9262726920724186,C2,null_both
0.29850826068663766,A,null_both
0.1051191905058255,B,null_both
0.8290250553439775,C1,null_both
0.06919162377805024,C2,null_both
0.7263120822257081,A,null_both
0.27938914627918443,B,null_both
0.7241946200286848,C1,null_both
0.414275274677386,C2,null_both
0.4904545327456376,A,null_both
0.6839529634656237,B,null_both
0.3337321868899072,C1,null_both
0.6372979926018064,C2,null_both
0.2210063258948968,A,null_both
0.3152054621746767,B,null_both
0.2360292060152656,C1,null_both
0.21815115049114464,C2,null_both
0.9893585705705251,A,null_both
0.73035071083919,B,null_both
0.9994985543502464,C1,null_both
0.7303326050169386,C2,null_both
0.3877770660763706,A,null_both
0.3719410275202461,B,null_both
0.3705070025530977,C1,null_both
0.30798498545108516,C2,null_both
0.3736945757595347,A,null_both
0.07930181081456239,B,null_both
0.9866116837317387,C1,null_both
0.07869409100022172,C2,null_both
0.501285185852012,A,null_both
0.169762600392586,B,null_both
0.8184045505307055,C1,null_both
0.16169017194172267,C2,null_both
0.7560037465067364,A,null_both
0.2818253866454826,B,null_both
0.9997940892866497,C1,null_both
0.27591760353685524,C2,null_both
0.9801035746286776,A,null_both
0.6678146973091151,B,null_both
0.9999999999999574,C1,null_both
0.6678146973091634,C2,null_both
0.27808473817828694,A,null_both
0.05886587528726811,B,null_both
0.9643048535515698,C1,null_both
0.051941721407332636,C2,null_both
0.9999956778160953,A,null_both
0.9797907763658477,B,null_both
1,C1,null_both
0.9797907763651765,C2,null_both
0.9774353936271424,A,null_both
0.6539531524498853,B,null_both
0.9999999999999858,C1,null_both
0.653953152449908,C2,null_both
0.9975992054705324,A,null_both
0.8343495043531434,B,null_both
1,C1,null_both
0.8343495043516581,C2,null_both
0.8979100504518822,A,null_both
0.45146447977489135,B,null_both
0.9943549885303815,C1,null_both
0.44544495695240727,C2,null_both
0.6272873038826596,A,null_both
0.18678400996460218,B,null_both
0.5355291561953238,C1,null_both
0.4818882558205664,C2,null_both
0.8496535934544347,A,null_both
1,B,null_both
0.8556917604126023,C1,null_both
0.48503124933870423,C2,null_both
0.9262100903179342,A,null_both
0.6709538626808482,B,null_both
0.9326535287122145,C1,null_both
0.5674602889776592,C2,null_both
0.2354437761555729,A,null_both
0.32630808024338087,B,null_both
0.2157215892534903,C1,null_both
0.2763179765612641,C2,null_both
0.8978543290082057,A,null_both
0.44096031329096436,B,null_both
1,C1,null_both
0.44096031329097524,C2,null_both
0.993720860173688,A,null_both
0.7723666098748234,B,null_both
0.9999999999998295,C1,null_both
0.7723666098755753,C2,null_both
0.8890252508547953,A,null_both
0.4265531206565719,B,null_both
1,C1,null_both
0.4265531206564368,C2,null_both
0.9677042978058727,A,null_both
0.611422031192309,B,null_both
1,C1,null_both
0.611422031192309,C2,null_both
0.49539797453397016,A,null_both
0.6272987960048537,B,null_both
0.3503481401188203,C1,null_both
0.5883780268915447,C2,null_both
0.46332231927885487,A,null_both
0.2672976138222412,B,null_both
0.5683737845513306,C1,null_both
0.23063417628735003,C2,null_both
0.5589622675241505,A,null_both
0.215538258678616,B,null_both
0.53685156089917,C1,null_both
0.36481659834430225,C2,null_both
0.7205797790130234,A,null_both
0.8167482069385792,B,null_both
0.5320451913058455,C1,null_both
0.7855377733779577,C2,null_both
0.2783860268391368,A,null_both
0.05189187580345516,B,null_both
0.9747502654282634,C1,null_both
0.051358149339439975,C2,null_both
0.6871298243076868,A,null_both
0.35258334881771386,B,null_both
0.7924079350580925,C1,null_both
0.31403630769997004,C2,null_both
0.9998222426750838,A,null_both
0.9302750561880566,B,null_both
1,C1,null_both
0.9302750561728239,C2,null_both
0.9970556534852328,A,null_both
0.8726559357212059,B,null_both
0.9878579796014851,C1,null_both
0.8725375361026313,C2,null_both
0.854652709938532,A,null_both
0.4696164669662536,B,null_both
0.9041143438623191,C1,null_both
0.4476127094867878,C2,null_both
0.5551568124249309,A,null_both
0.14884984365542903,B,null_both
0.9999999999999005,C1,null_both
0.14884984365546888,C2,null_both
0.9864589661276069,A,null_both
0.7070019629341353,B,null_both
1,C1,null_both
0.7070019629341353,C2,null_both
0.9214352082599172,A,null_both
0.49445136984227456,B,null_both
0.9897453656152515,C1,null_both
0.4940139683979413,C2,null_both
0.9210997938358276,A,null_both
0.4839619657171569,B,null_both
1,C1,null_both
0.48396196571714417,C2,null_both
0.9479802012241018,A,null_both
0.5758750170018334,B,null_both
0.97627280609755,C1,null_both
0.5752661996416681,C2,null_both
0.7090375252526813,A,null_both
0.24026259699655658,B,null_both
0.9974732134448859,C1,null_both
0.24009901609761103,C2,null_both
0.9962417073567285,A,null_both
0.807854255467729,B,null_both
1,C1,null_both
0.8078542554683174,C2,null_both
0.2750434243765299,A,null_both
0.22759544021262262,B,null_both
0.3561367439148617,C1,null_both
0.17824104968901155,C2,null_both
0.9218975998136361,A,null_both
0.658598064114539,B,null_both
0.8746340718966147,C1,null_both
0.6402852404837255,C2,null_both
0.18354962693972351,A,null_both
0.028036814799371118,B,null_both
1,C1,null_both
0.027735548203154065,C2,null_both
0.7091075435246728,A,null_both
0.6475621807268678,B,null_both
0.565624007299556,C1,null_both
0.6205302754037095,C2,null_both
0.9618577355827669,A,null_both
0.5900813717251637,B,null_both
0.9999999999999574,C1,null_both
0.5900813717252182,C2,null_both
0.11494327764374433,A,null_both
0.11217670596809153,B,null_both
0.2783956562412815,C1,null_both
0.06619148893866575,C2,null_both
0.6161614795001058,A,null_both
0.8291028290084824,B,null_both
0.4203274872436377,C1,null_both
0.8050401147017135,C2,null_both
0.318456670288182,A,null_both
0.6261761772405692,B,null_both
0.20381781833992055,C1,null_both
0.5616967213661418,C2,null_both
0.9735161973462407,A,null_both
0.6981458000841598,B,null_both
0.966507432501162,C1,null_both
0.6923891178480516,C2,null_both
0.9371952518230322,A,null_both
0.5393456549912374,B,null_both
0.9852091764814023,C1,null_both
0.5350087934595199,C2,null_both
0.06736552122923707,A,null_both
0.008272415773211736,B,null_both
0.6106646812131651,C1,null_both
0.013064878891875778,C2,null_both
0.04216767808648481,A,null_both
0.1097487035844389,B,null_both
0.10965107010547497,C1,null_both
0.052082738344939566,C2,null_both
0.8303325454496384,A,null_both
0.36221172458362905,B,null_both
0.6528640717680787,C1,null_both
0.869744056984111,C2,null_both
0.15041107285840255,A,null_both
0.1360685064199142,B,null_both
0.31047244736019397,C1,null_both
0.08475074556020896,C2,null_both
0.9595235794661402,A,null_both
0.6646027591150133,B,null_both
0.9450148304020849,C1,null_both
0.6632738220559214,C2,null_both
0.49042794017210883,A,null_both
0.24294604820969942,B,null_both
0.8060415293607889,C1,null_both
0.15875661468537652,C2,null_both
0.9978484193733598,A,null_both
0.8402591612288552,B,null_both
0.9999999999995026,C1,null_both
0.8402591612324382,C2,null_both
0.8631616569434503,A,null_both
0.4850691043361905,B,null_both
0.9115458789791204,C1,null_both
0.45535550006016645,C2,null_both
0.8799208814271547,A,null_both
0.8439301936565506,B,null_both
0.7295533069209719,C1,null_both
0.8401077592947465,C2,null_both
0.11131349167598509,A,null_both
0.060072853040344765,B,null_both
0.47109445808066186,C1,null_both
0.03388071326820425,C2,null_both
0.9915291762105045,A,null_both
0.8633628382512433,B,null_both
0.9643497005884049,C1,null_both
0.8626003900699807,C2,null_both
0.843434766543409,A,null_both
0.38963974256249445,B,null_both
0.9706218618827276,C1,null_both
0.38159858299658017,C2,null_both
0.8616343088639211,A,null_both
0.39222440830522337,B,null_both
0.9927213631114409,C1,null_both
0.3914800929497656,C2,null_both
0.9930761781099229,A,null_both
0.9913514776425009,B,null_both
0.9563361798512816,C1,null_both
0.9909786827015399,C2,null_both
0.16944993086641608,A,null_both
0.026319744377463313,B,null_both
0.9486774226507834,C1,null_both
0.02644187412866286,C2,null_both
0.5770814987165125,A,null_both
0.19399242605408418,B,null_both
0.8875873496925062,C1,null_both
0.18726013534979688,C2,null_both
0.6250245790707323,A,null_both
0.3032509496609857,B,null_both
0.7390229029081571,C1,null_both
0.28375512656893076,C2,null_both
0.4572084925731287,A,null_both
0.1266922196998098,B,null_both
0.9759863211301859,C1,null_both
0.11008573228677644,C2,null_both
0.8863203582461379,A,null_both
0.9385574076158297,B,null_both
0.7273770089837456,C1,null_both
0.932156886106279,C2,null_both
0.4383660340103047,A,null_both
0.5213528491436962,B,null_both
0.33935201110896457,C1,null_both
0.458507032144592,C2,null_both
0.6011752730589963,A,null_both
0.19948144201685952,B,null_both
0.9201324939675862,C1,null_both
0.19265321811321773,C2,null_both
0.6963893032453997,A,null_both
0.2597604351032899,B,null_both
0.9307406824670347,C1,null_both
0.25502255414218317,C2,null_both
0.9657017336664755,A,null_both
0.6442029581384727,B,null_both
0.9749185367915045,C1,null_both
0.640215882979877,C2,null_both
0.9999998199976529,A,null_both
0.9929947396002914,B,null_both
0.9999999999999858,C1,null_both
0.9929947396015827,C2,null_both
